date,code,code_name,listing_date,listing_age_trading_days,listing_status,listing_eligible,trading_status,price_limit_status,security_status
2018-01-08,sh.601963,重庆银行,2021-02-05,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sh.601988,中国银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.601997,贵阳银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.601998,中信银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sh.603323,苏农银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sz.000001,平安银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sz.000617,中油资本,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sz.001227,兰州银行,2022-01-17,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sz.002142,宁波银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sz.002807,江阴银行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sz.002839,张家港行,2018-01-02,5,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-08,sz.002936,郑州银行,2018-09-19,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sz.002948,青岛银行,2019-01-16,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sz.002958,青农商行,2019-03-26,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-08,sz.002966,苏州银行,2019-08-02,0,not_listed,0,not_listed,not_applicable,not_listed
2018-01-09,sh.600000,浦发银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.600015,华夏银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.600016,民生银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.600036,招商银行,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.600318,新力金融,2018-01-02,6,listed_less_than_one_year,0,trading,none,listed_less_than_one_year
2018-01-09,sh.600901,江苏金租,2018-03-01,0,not_listed,0,not_listed,not_applicable,not_listed
